alpha,B,lambda,cw_lo,cw_hi,mv,vol_mean,vol_median,vol_max,guarantee
0.4,0.9,0.15499418664293466,0.7443286780462572,0.7427030222419272,0.0,0.021727134333614465,0.027024407033125385,0.06345438906598802,0.4328788457942876
0.45,0.9,0.1377099760265034,0.7226778984704056,0.72075666888347,0.0,0.020479881817261576,0.025473063024409846,0.059811771258183315,0.4872101975088952
0.5,0.9,0.12389391860148355,0.703022241927141,0.7006576516662972,0.0,0.01942538967113281,0.024161476115034088,0.05673211271324755,0.5415415492235027
0.01,0.95,9.729227289871709,0.9938668440109363,0.9930540161087712,0.29292929292929293,0.1721408406248508,0.21411034113565228,0.5027396483785805,0.007837958488930905
0.015,0.95,5.721475088913818,0.9881031552501293,0.9871425404566615,0.15151515151515152,0.13200754381797866,0.16419218203391686,0.3855298133869455,0.01332825511643801
0.1,0.95,0.7149345764817068,0.926254341239932,0.9261065543486293,0.0,0.04666356291330146,0.05804056339974439,0.13628156529252036,0.10666329778405871
0.15,0.95,0.47198763969364116,0.895366880957659,0.8957363481859159,0.0,0.03791491245855939,0.04715891249957452,0.11073101356151421,0.1615662640591297
0.2,0.95,0.3522776863467234,0.8665484371536245,0.8674351585014409,0.0,0.03275573225059442,0.040741877295737965,0.09566355813223242,0.21646923033420076
0.25,0.95,0.28100623638015976,0.8392078622626173,0.8381733540234981,0.0,0.02925517659109758,0.03638785437068085,0.08544013808271375,0.2713721966092717
0.3,0.95,0.23372076180502804,0.8134929431759403,0.8121628611542157,0.0,0.02668046481550411,0.033185404477923,0.07792065759197433,0.3262751628843427
0.35,0.95,0.20005680754967028,0.7878519175349147,0.7885908519914283,0.0,0.024684333870904945,0.030702598678043234,0.07209093022708707,0.3811781291594137
0.4,0.95,0.17486949199531354,0.7649449493829897,0.764206014926476,0.0,0.023078191300202586,0.028704863959906082,0.0674001691717225,0.43608109543448476
0.45,0.95,0.15531518347432344,0.74447646493756,0.743072489470184,0.0,0.021749621415720254,0.027052376670100214,0.06352006289277945,0.4909840617095558
0.5,0.95,0.1396942512243316,0.725338062513855,0.7240079804921303,0.0,0.020626902315849873,0.02565592845595075,0.06024114660860235,0.5458870279846268
0.01,0.99,58.418611228197264,0.9997044262173945,0.9995566393260917,0.8181818181818182,0.4218133872472643,0.5246553224166063,1.2319116905454082,0.0016501014656405486
0.015,0.99,12.900798856386158,0.995418606369615,0.9951230325870095,0.37373737373737376,0.198222544536834,0.24655100136319177,0.5789116166705244,0.007472144716109221
0.1,0.99,0.9055844194945823,0.9392595876745733,0.9382989728811054,0.010101010101010102,0.05251812538941046,0.06532252138490088,0.15337989402128438,0.10644687997407667
0.15,0.99,0.5854023762048444,0.9125101603487771,0.9128796275770339,0.0,0.04222522624952545,0.052520119943638935,0.12331934316305325,0.1646673124787634
0.2,0.99,0.4324896194516722,0.887977536392522,0.8889381511859898,0.0,0.03629381229670949,0.04514257339370729,0.10599656865932505,0.22288774498345018
0.25,0.99,0.3429165130295855,0.8629276583167073,0.8638143796645238,0.0,0.032317588312776785,0.0401969098861905,0.09438395284833766,0.2811081774881368
0.3,0.99,0.2840804847265086,0.840537944284342,0.8397990098278283,0.0,0.02941476919136399,0.03658635709648217,0.08590623042576566,0.3393286099928235
0.35,0.99,0.24247734418562308,0.8185915909258848,0.8170398285672061,0.0,0.027175674251826445,0.03380135047284026,0.07936692343444814,0.3975490424975104
0.4,0.99,0.21150305427512234,0.7975319589152442,0.7972363851326387,0.0,0.025380669066236636,0.03156870671885471,0.07412458656328223,0.45576947500219706
0.45,0.99,0.18754577590036178,0.7769895810241632,0.7774329416980714,0.0,0.023900026818778685,0.029727070442696568,0.06980035089579341,0.5139899075068838
0.5,0.99,0.1684636387493181,0.7581467523830636,0.7574817113722013,0.0,0.022651545204549976,0.028174197670879107,0.06615414349105365,0.5722103400115706
