alpha,B,lambda,cw_lo,cw_hi,mv,vol_mean,vol_median,vol_max,guarantee
0.01,0.8,19.77677963125471,0.9971920490652479,0.9968964752826425,0.48484848484848486,0.1650311317968098,0.18032605312050282,0.6736006951135899,0.007516127519065309
0.015,0.8,11.78242878968243,0.9952708194783123,0.9944579915761472,0.3333333333333333,0.12738124896032185,0.13918681655080928,0.519926736912609,0.012615802758352187
0.1,0.8,1.4967714811751227,0.9605409000221681,0.958545776989581,0.020202020202020204,0.04540104412630184,0.04960876778646717,0.1853115503080545,0.0993102818262291
0.15,0.8,0.9889410591941356,0.9428064730658391,0.9426586861745363,0.010101010101010102,0.0369039875579531,0.040324212457848924,0.15062946851813946,0.15030703421909786
0.2,0.8,0.7384103405441231,0.9281016773812163,0.9272888494790512,0.0,0.03188871182582098,0.0348441259539284,0.130158826509152,0.20130378661196666
0.25,0.8,0.5891576697032541,0.9128057341313826,0.9136185620335476,0.0,0.028484189003708894,0.03112407533932058,0.1162627275456647,0.2523005390048354
0.3,0.8,0.49009602736626673,0.8986920860119707,0.8986920860119707,0.0,0.025979373998315663,0.028387116567955575,0.106038928493973,0.30329729139770417
0.35,0.8,0.419552064817746,0.885982413359935,0.8861302002512377,0.0,0.024037042002460367,0.026264771172581965,0.09811099290809601,0.35429404379057294
0.4,0.8,0.3667608517753868,0.8722382324687801,0.8731249538165965,0.0,0.022473958640884643,0.024556822798100016,0.09173102067246812,0.4052907961834418
0.45,0.8,0.32577000641099924,0.8564989285450381,0.8573117564472031,0.0,0.02118086241386198,0.023143883697548336,0.08645304367571781,0.45628754857631054
0.5,0.8,0.29302069340796516,0.8446759772408188,0.8440109362299564,0.0,0.02008802484400805,0.021949763027539274,0.08199245409673948,0.5072843009691792
0.01,0.9,23.341449269380107,0.9976354097391561,0.9974876228478534,0.5151515151515151,0.1792883208888247,0.195904584331942,0.7317936698462081,0.006867990922973047
0.015,0.9,13.345141677583994,0.9956402867065691,0.9952708194783123,0.37373737373737376,0.13556565768560638,0.148129748144908,0.5533326970270507,0.012012526025138517
0.1,0.9,1.611636369575724,0.9623143427178009,0.9605409000221681,0.020202020202020204,0.047110923830210046,0.051477117442435424,0.19229069505833876,0.09946962276195156
0.15,0.9,1.0622462284027685,0.945983891228848,0.945983891228848,0.020202020202020204,0.03824729185448284,0.041792012861903996,0.15611237770042377,0.15091497378360624
0.2,0.9,0.7921951195987144,0.9319441365550876,0.9311313086529225,0.0,0.0330296652514612,0.03609082180943121,0.1348158085720863,0.202360324805261
0.25,0.9,0.631620475739329,0.9187911032291436,0.9185694228921895,0.0,0.0294928125921584,0.03222617715980178,0.12037958442527487,0.25380567582691577
0.3,0.9,0.5251705894855672,0.9036429468706125,0.903716840316264,0.0,0.026892940398620155,0.02938535139454118,0.10976779440901259,0.3052510268485705
0.35,0.9,0.44942665991820835,0.8910071676642282,0.8921155693489987,0.0,0.024878117032781748,0.027183796201040212,0.10154397381841726,0.3566963778702251
0.4,0.9,0.3927774357853165,0.8796275770339171,0.8801448311534766,0.0,0.0232574103856319,0.025412884072130347,0.09492880301876787,0.40814172889187994
0.45,0.9,0.34881063615038627,0.8652922485775512,0.8663267568166704,0.0,0.021917093005629072,0.023948347409058175,0.08945808540923021,0.45958707991353465
0.5,0.9,0.313696063120247,0.8525825759255155,0.8526564693711668,0.0,0.020784645666806923,0.022710945976048304,0.08483582228647997,0.5110324309351895
0.01,0.95,25.68240679280026,0.9978570900761102,0.9978570900761102,0.5454545454545454,0.18806412221815585,0.20549371820903595,0.7676134925139363,0.0064147416266029
0.015,0.95,14.19361970009177,0.9960097539348259,0.9956402867065691,0.37373737373737376,0.13980885317538105,0.152766198776731,0.5706519712772823,0.011607046504427605
0.1,0.95,1.6495016368714672,0.9632749575112688,0.9612059410330304,0.020202020202020204,0.047661144435392815,0.05207833194661965,0.19453650757917432,0.09987622942744756
0.15,0.95,1.085288453755933,0.9469445060223158,0.9463533584571049,0.020202020202020204,0.03865989607847287,0.0422428568354191,0.15779648717153058,0.15179927820569455
0.2,0.95,0.8086791779975645,0.9331264316855095,0.9323136037833444,0.0,0.033371537916618094,0.036464378893517814,0.1362112159863283,0.20372232698394163
0.25,0.95,0.6444317775510172,0.9206384393704279,0.9198256114682628,0.0,0.029790415793369534,0.0325513619300093,0.12159429901288779,0.25564537576218865
0.3,0.95,0.5356401723333144,0.9054163895662455,0.9057858567945023,0.0,0.02715968080013578,0.02967681303144199,0.11085653759291697,0.3075684245404356
0.35,0.95,0.45827513627584876,0.8931500775881179,0.8937412251533289,0.0,0.025121828042755447,0.0274500941052725,0.10253871889431754,0.3594914733186826
0.4,0.95,0.40043798912453216,0.8813271262838986,0.8819921672947609,0.0,0.023483116186984742,0.025659508062896356,0.09585005698477489,0.41141452209692975
0.45,0.95,0.3555636630414924,0.8679524126210005,0.8690608143057711,0.0,0.022128235093418845,0.02417905793575825,0.0903198952723416,0.4633375708751767
0.5,0.95,0.3197333497676126,0.8546515924037538,0.8547254858494051,0.0,0.020983699574783382,0.02292844800244051,0.08564829232966617,0.5152606196534237
0.01,0.99,64.2025755738966,0.9997044262173945,0.9997044262173945,0.8181818181818182,0.2973475170306803,0.32490538947125236,1.2136709721458632,0.0027707621535022126
0.015,0.99,21.798489783262337,0.9974137294022021,0.9972659425108993,0.494949494949495,0.17326119049033917,0.18931886547654656,0.7071929828015435,0.00816066013408455
0.1,0.99,1.7826634080313513,0.9662306953373235,0.9634966378482228,0.020202020202020204,0.04954761632531137,0.05413964017693969,0.20223644129789806,0.0997889258039843
0.15,0.99,1.1574760281342928,0.9500480307396734,0.9493829897288111,0.020202020202020204,0.039924923588535055,0.04362512583821086,0.16295989725566465,0.1536879056098077
0.2,0.99,0.8569427023356813,0.9357127022833075,0.935417128500702,0.0,0.03435294573060545,0.037536742608600696,0.1402169873731823,0.20758688541563108
0.25,0.99,0.680304713246591,0.9235202837508313,0.9233724968595286,0.0,0.030608343804103925,0.033445094696103614,0.124932801697714,0.2614858652214544
0.3,0.99,0.5640412637523293,0.9094805290770709,0.9098499963053277,0.0,0.027870421024860217,0.030453423954018316,0.11375753635725332,0.3153848450272778
0.35,0.99,0.48171637801335115,0.8972142170989433,0.8974358974358975,0.0,0.02575631910447913,0.028143389168180623,0.1051284946267329,0.36928382483310107
0.4,0.99,0.42036222787762084,0.885982413359935,0.8863518805881918,0.0,0.02406023880336729,0.02629011782994914,0.09820567432393061,0.42318280463892455
0.45,0.99,0.3728712190605974,0.8739377817187616,0.8746767161752752,0.0,0.022660397418602467,0.024760540536495335,0.09249200006405026,0.4770817844447478
0.5,0.99,0.33502167787300763,0.859676346708047,0.8608586418384689,0.0,0.021479518695044608,0.023470219146132777,0.0876720565759768,0.5309807642505713
