cw,mv,vol_mean,vol_median,vol_max
0.05168206379640927,0.0,0.0040025726138998,0.004319798487592768,0.008721470736407087
0.10170820986578351,0.0,0.007902215280126496,0.008528509263561728,0.01721866058821174
0.15269304514554646,0.0,0.012105604012716308,0.013065039650730487,0.026377702874594382
0.20210911626285516,0.0,0.01643550082999063,0.01773810458345392,0.035812402010939756
0.2575387833362385,0.0,0.021084459315462805,0.022755518574816204,0.045942325761732676
0.3034687118703155,0.0,0.025782169944673573,0.027825548585200206,0.056178478789535274
0.35541223636046715,0.0,0.030877128536706024,0.03332431064232763,0.0672802217308888
0.40055778281331705,0.0,0.03603881699999039,0.03889509127968275,0.07852736681119327
0.44805647550984834,0.0,0.041389269072886176,0.044669596079962536,0.09018582143066955
0.49546801464179885,0.0,0.04736852290500493,0.05112273863413442,0.10321441387675756
0.542618093080007,0.0,0.05404582452967982,0.05832925310417861,0.11776402892072421
0.5883737144849225,0.0,0.060764533904352935,0.0655804571159429,0.13240387005543455
0.6327348788565452,0.0125,0.06846387296195879,0.0738900111015492,0.1491804701969021
0.6820637964092732,0.0125,0.07773066003722527,0.08389124197330536,0.16937248670568128
0.732264249607809,0.0375,0.08864411543758452,0.09566964868332123,0.1931525379599118
0.780285863691825,0.05,0.10180072647414258,0.10986899343979156,0.22182034969358416
0.8342339201673349,0.05,0.1221902189126145,0.1318744651937888,0.2662483660685489
0.8959386438905351,0.15,0.15685074117074338,0.1692820242996207,0.3417724751210836
0.9502353146243682,0.4625,0.2445447824460422,0.26392630022266,0.5328548335232238
