seed,cw_alpha,ec1,ec2,ec3,ec4,ec5,ec6,bm,cw_stress_volume,cw_ec_volume,cw_ec_volume_red,cw_fullcov,cw_redcov,cw_cwfullcov,cw_cwredcov,cw_Mvol,cw_Mcov
2.0,0.4,0.35493454790785406,-0.12576945719567545,-0.12474580003255675,-0.0007649202355769717,0.0011363089259223342,-0.008554265726776034,0.0351479826142469,1.6582411138813372e6,0.21616063475352212,0.9709672950511704,1.0,1.0,6.0,3.0,0.3963661173277205,1.0
2.0,0.45,0.35493454790785406,-0.12576945719567545,-0.12474580003255675,-0.0007649202355769717,0.0011363089259223342,-0.008554265726776034,0.0351479826142469,1.6695418846531555e6,0.2162830126546754,0.9715170017070206,1.0,1.0,6.0,3.0,0.3965905173605116,1.0
2.0,0.5,0.35493454790785406,-0.12576945719567545,-0.12474580003255675,-0.0007649202355769717,0.0011363089259223342,-0.008554265726776034,0.0351479826142469,1.815549865766471e6,0.2177993848971972,0.9783283614917979,1.0,1.0,6.0,3.0,0.3993710355565154,1.0
2.0,0.55,0.35493454790785406,-0.12576945719567545,-0.12474580003255675,-0.0007649202355769717,0.0011363089259223342,-0.008554265726776034,0.0351479826142469,2.571597928225781e6,0.22421064223793058,1.0071269501206066,1.0,1.0,6.0,3.0,0.41112713158312525,1.0
2.0,0.6,0.35493454790785406,-0.12576945719567545,-0.12474580003255675,-0.0007649202355769717,0.0011363089259223342,-0.008554265726776034,0.0351479826142469,2.6175086457612705e6,0.2245415127356987,1.0086131801763076,1.0,1.0,6.0,3.0,0.4117338371226799,1.0
2.0,0.65,0.35493454790785406,-0.12576945719567545,-0.12474580003255675,-0.0007649202355769717,0.0011363089259223342,-0.008554265726776034,0.0351479826142469,3.1388920353281195e6,0.22796630775673776,1.023996943096299,1.0,1.0,6.0,3.0,0.4180137627283778,1.0
2.0,0.7,0.35493454790785406,-0.12576945719567545,-0.12474580003255675,-0.0007649202355769717,0.0011363089259223342,-0.008554265726776034,0.0351479826142469,3.856561286004648e6,0.23191169683891644,1.0417191512560577,1.0,1.0,6.0,3.0,0.42524828326739045,1.0
2.0,0.75,0.35493454790785406,-0.12576945719567545,-0.12474580003255675,-0.0007649202355769717,0.0011363089259223342,-0.008554265726776034,0.0351479826142469,3.9657349986173008e6,0.2324518148550691,1.0441452957284314,1.0,1.0,6.0,3.0,0.4262386785870806,1.0
2.0,0.8,0.35493454790785406,-0.12576945719567545,-0.12474580003255675,-0.0007649202355769717,0.0011363089259223342,-0.008554265726776034,0.0351479826142469,5.593550470525796e6,0.2392103301789161,1.0745037250050682,1.0,1.0,6.0,3.0,0.43863152930602745,1.0
2.0,0.85,0.35493454790785406,-0.12576945719567545,-0.12474580003255675,-0.0007649202355769717,0.0011363089259223342,-0.008554265726776034,0.0351479826142469,9.183572293602848e6,0.24930076117881803,1.1198287144743433,1.0,1.0,6.0,3.0,0.4571339960579169,1.0
