seed,cw_alpha,ec1,ec2,ec3,ec4,ec5,ec6,bm,cw_stress_volume,cw_ec_volume,cw_ec_volume_red,cw_fullcov,cw_redcov,cw_cwfullcov,cw_cwredcov,cw_Mvol,cw_Mcov,mv_stress_volume,mv_ec_volume,mv_ec_volume_red,mv_fullcov,mv_redcov,mv_cwfullcov,mv_cwredcov,cw_fullcov_upper,cw_redcov_upper,mv_Mvol,mv_Mcov
2.0,0.4,0.35493454790785406,-0.12576945719567545,-0.12474580003255675,-0.0007649202355769717,0.0011363089259223342,-0.008554265726776034,0.0351479826142469,0.4937502781672172,0.06179190435372572,0.2775617229973928,0.0,0.0,5.0,2.0,0.1133056314296054,1.0,0.8190836499701084,0.12094091673741197,0.7013340495686552,1.0,1.0,4.0,2.0,6.0,3.0,0.5623753754035332,1.0
2.0,0.45,0.35493454790785406,-0.12576945719567545,-0.12474580003255675,-0.0007649202355769717,0.0011363089259223342,-0.008554265726776034,0.0351479826142469,5.071559369473601,0.07502991018538142,0.33702523599498724,0.0,0.0,5.0,2.0,0.13757969492242456,1.0,0.9630203295421446,0.12258354863178295,0.7108596403241083,1.0,1.0,4.0,2.0,6.0,3.0,0.5700136152413575,1.0
2.0,0.5,0.35493454790785406,-0.12576945719567545,-0.12474580003255675,-0.0007649202355769717,0.0011363089259223342,-0.008554265726776034,0.0351479826142469,33.58132986002157,0.08783092528140748,0.3945258397282722,0.0,0.0,5.0,2.0,0.1610524639455675,1.0,1.1832026827018678,0.12470508526726821,0.7231623904603885,1.0,1.0,4.0,2.0,6.0,3.0,0.5798787625711386,1.0
2.0,0.55,0.35493454790785406,-0.12576945719567545,-0.12474580003255675,-0.0007649202355769717,0.0011363089259223342,-0.008554265726776034,0.0351479826142469,174.7427298610962,0.10077184889024955,0.4526548954939935,1.0,1.0,6.0,3.0,0.18478177826461595,1.0,1.4830565528967665,0.1270746856929539,0.7369036577439345,1.0,1.0,4.0,2.0,6.0,3.0,0.5908974067562556,1.0
2.0,0.6,0.35493454790785406,-0.12576945719567545,-0.12474580003255675,-0.0007649202355769717,0.0011363089259223342,-0.008554265726776034,0.0351479826142469,657.1959286693835,0.11253316643121769,0.5054853041945103,1.0,1.0,6.0,3.0,0.20634809062157017,1.0,1.7378955991181129,0.12876501273463195,0.7467058317410888,1.0,1.0,4.0,2.0,6.0,3.0,0.5987574290734538,1.0
2.0,0.65,0.35493454790785406,-0.12576945719567545,-0.12474580003255675,-0.0007649202355769717,0.0011363089259223342,-0.008554265726776034,0.0351479826142469,1865.3902479502979,0.12275431737914835,0.55139747178015,1.0,1.0,6.0,3.0,0.2250902539228177,1.0,2.035486225389379,0.13047227912482873,0.7566062366944332,1.0,1.0,4.0,2.0,6.0,3.0,0.6066962193770307,1.0
2.0,0.7,0.35493454790785406,-0.12576945719567545,-0.12474580003255675,-0.0007649202355769717,0.0011363089259223342,-0.008554265726776034,0.0351479826142469,5124.410994660611,0.13353946437443512,0.5998430410517409,1.0,1.0,6.0,3.0,0.24486659684577847,1.0,2.378626128185964,0.1321771602100753,0.7664928093102591,1.0,1.0,4.0,2.0,6.0,3.0,0.6146239180103695,1.0
2.0,0.75,0.35493454790785406,-0.12576945719567545,-0.12474580003255675,-0.0007649202355769717,0.0011363089259223342,-0.008554265726776034,0.0351479826142469,15660.531399876809,0.1465682294684484,0.658366670090932,1.0,1.0,6.0,3.0,0.2687569829920694,1.0,2.7460995014860936,0.1337690339243548,0.7757240543558184,1.0,1.0,4.0,2.0,6.0,3.0,0.622026132263522,1.0
2.0,0.8,0.35493454790785406,-0.12576945719567545,-0.12474580003255675,-0.0007649202355769717,0.0011363089259223342,-0.008554265726776034,0.0351479826142469,32715.42146395644,0.15584827884612848,0.7000515238223329,1.0,1.0,6.0,3.0,0.28577348160031407,1.0,3.3477686139686598,0.13599580777763348,0.7886370730935899,1.0,1.0,4.0,2.0,6.0,3.0,0.6323806327540002,1.0
2.0,0.85,0.35493454790785406,-0.12576945719567545,-0.12474580003255675,-0.0007649202355769717,0.0011363089259223342,-0.008554265726776034,0.0351479826142469,80181.94073705326,0.16793672544576893,0.7543513564889379,1.0,1.0,6.0,3.0,0.30793963895216686,1.0,4.211742190048424,0.13862270945507024,0.8038704253862262,1.0,1.0,4.0,2.0,6.0,3.0,0.6445957279992605,1.0
2.0,0.9,0.35493454790785406,-0.12576945719567545,-0.12474580003255675,-0.0007649202355769717,0.0011363089259223342,-0.008554265726776034,0.0351479826142469,276306.6445983045,0.1861752351979171,0.8362765252413359,1.0,1.0,6.0,3.0,0.3413829497776823,1.0,5.244774756961692,0.1411799872422671,0.8187000300787458,1.0,1.0,4.0,2.0,6.0,3.0,0.6564870720900983,1.0
2.0,0.95,0.35493454790785406,-0.12576945719567545,-0.12474580003255675,-0.0007649202355769717,0.0011363089259223342,-0.008554265726776034,0.0351479826142469,856831.0733515992,0.20458819358786856,0.9189852960689512,1.0,1.0,6.0,3.0,0.3751461409057238,1.0,6.785766568206599,0.14424335365071905,0.8364644329500827,1.0,1.0,4.0,2.0,6.0,3.0,0.6707317287408515,1.0
252.0,0.4,0.24121492054719207,-0.09840214834460431,-0.09766360390270962,-0.002019572231088168,-0.0010636578418215389,0.06488880122208857,0.015296237580591066,0.005973089420505296,0.04166958187203002,0.1852917725797113,0.0,0.0,1.0,0.0,0.0767195529867169,1.0,0.020311944017720962,0.09636354119025381,0.538360378284513,1.0,1.0,4.0,2.0,6.0,3.0,0.4171445597513141,1.0
252.0,0.45,0.24121492054719207,-0.09840214834460431,-0.09766360390270962,-0.002019572231088168,-0.0010636578418215389,0.06488880122208857,0.015296237580591066,0.020191494564659712,0.046121129026545145,0.20508642915954947,0.0,0.0,3.0,1.0,0.0849154765465579,1.0,0.025848991621179717,0.0983189188126591,0.5492846119052844,1.0,1.0,4.0,2.0,6.0,3.0,0.42560912142444146,1.0
252.0,0.5,0.24121492054719207,-0.09840214834460431,-0.09766360390270962,-0.002019572231088168,-0.0010636578418215389,0.06488880122208857,0.015296237580591066,0.06638779976097145,0.050930340634833,0.22647150920060258,0.0,0.0,3.0,1.0,0.09376991060206331,1.0,0.03645376998511094,0.10117626996109934,0.5652479588948777,1.0,1.0,4.0,2.0,6.0,3.0,0.4379782028441221,1.0
252.0,0.55,0.24121492054719207,-0.09840214834460431,-0.09766360390270962,-0.002019572231088168,-0.0010636578418215389,0.06488880122208857,0.015296237580591066,0.24907371049871765,0.05686301485893271,0.25285228082670963,0.0,0.0,4.0,2.0,0.10469279713081579,1.0,0.04297083800698615,0.10257257986909149,0.5730488130455668,1.0,1.0,4.0,2.0,6.0,3.0,0.44402263702173106,1.0
252.0,0.6,0.24121492054719207,-0.09840214834460431,-0.09766360390270962,-0.002019572231088168,-0.0010636578418215389,0.06488880122208857,0.015296237580591066,0.6232420343935621,0.06137958568756484,0.27293607762095606,0.0,1.0,5.0,3.0,0.11300843840769867,1.0,0.053058349665751244,0.10439097128074128,0.5832077370136297,1.0,1.0,4.0,2.0,6.0,3.0,0.4518942041673448,1.0
252.0,0.65,0.24121492054719207,-0.09840214834460431,-0.09766360390270962,-0.002019572231088168,-0.0010636578418215389,0.06488880122208857,0.015296237580591066,2.023861705698099,0.06770971108114142,0.3010841919560064,0.0,1.0,5.0,3.0,0.12466308836402662,1.0,0.06603419512589027,0.10631165221060306,0.5939381283960168,1.0,1.0,4.0,2.0,6.0,3.0,0.4602085686148709,1.0
252.0,0.7,0.24121492054719207,-0.09840214834460431,-0.09766360390270962,-0.002019572231088168,-0.0010636578418215389,0.06488880122208857,0.015296237580591066,5.31091345684697,0.0733781334019442,0.32628991690850356,0.0,1.0,5.0,3.0,0.1350994500229331,1.0,0.08159415620919884,0.10820277066779846,0.604503361215621,1.0,1.0,4.0,2.0,6.0,3.0,0.4683949611708154,1.0
252.0,0.75,0.24121492054719207,-0.09840214834460431,-0.09766360390270962,-0.002019572231088168,-0.0010636578418215389,0.06488880122208857,0.015296237580591066,10.136004135765045,0.07743871233431973,0.34434605844576055,0.0,1.0,5.0,3.0,0.14257554617181803,1.0,0.10627469199239536,0.11061209420526692,0.6179636836053969,1.0,1.0,4.0,2.0,6.0,3.0,0.47882459248076775,1.0
252.0,0.8,0.24121492054719207,-0.09840214834460431,-0.09766360390270962,-0.002019572231088168,-0.0010636578418215389,0.06488880122208857,0.015296237580591066,23.11248400429698,0.08294491693093982,0.3688304512344274,0.0,1.0,5.0,3.0,0.15271324221598334,1.0,0.13910723867254896,0.11312170381463939,0.6319842806274676,1.0,1.0,4.0,2.0,6.0,3.0,0.4896883484482086,1.0
