Column1
3
48
162
162
162
162
6
384
384
48
48
48
48
48
6
6
6
6
6
6
162
6
48
48
6
162
162
48
162
384
48
162
162
162
6
48
384
162
48
6
48
48
48
162
48
162
48
6
162
48
48
162
48
48
6
48
162
6
48
162
48
48
6
48
6
48
48
384
6
48
162
48
48
162
162
48
48
6
48
162
6
6
6
48
6
48
48
48
162
384
48
48
48
48
6
48
6
48
162
48
162
48
48
6
162
48
384
48
48
48
48
48
384
48
48
48
48
6
162
6
6
6
48
384
48
48
6
162
48
48
6
6
48
384
162
48
384
384
48
384
6
162
48
48
384
48
48
6
48
6
162
48
162
48
48
162
48
48
48
384
162
48
48
162
6
48
162
6
48
48
48
162
6
162
162
48
48
48
48
384
384
48
48
162
6
162
48
6
6
48
162
48
162
384
6
48
384
6
48
48
