Column1,Column2,Column3,Column4,Column5,Column6,Column7
0.0005,-10.527925873428119,-10.199947372374849,-29.205481478235196,-115.08976750126853,160.16584480015663,172.0391890727494
0.001,7.640046301032652,-9.384540126380596,-9.148157928478506,-14.226299265645627,-4.473201499788376,-685.5181792690635
0.005,-12.634089474025242,-7.022541996182538,-6.326727930222593,-13.11610264390356,-19.78059588521237,-9.890801878649444
0.01,-12.885309125270838,-7.920936927116365,-8.373894530651938,-15.446477827106575,-22.7692635175445,11.198635382214743
0.05,-22.987969292471423,-14.100805208539299,-16.74534042074388,-0.44560244596819354,1.4173264294593146,0.8433417800003583
0.1,-38.11373643071728,-22.374871265028393,-25.493087327332464,1.1018936624561697,0.7974814513955708,-3.4440865074386027
0.5,-54.66688290998476,-34.26044229051563,-37.963665052279914,-0.49843232918855895,-0.1531547695406048,25.815481890658127
1.0,NaN,40.621228665871456,51.0818520322111,-1.8077543274944494,-12.774013807562554,1.3508559561977287

