Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21
0.0,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,1.0
1.0,13.36408340567736,13.303400340263195,13.24738049214643,13.19369619932394,13.140379705470387,13.08564805127179,13.027866038618525,12.965551855327586,12.89740728484956,12.822398875189043,12.74010857534265,12.657503077991604,12.685057363655847,12.784815813843753,12.890998319740627,13.0024211136132,13.111591923813176,13.218302833875743,13.323339175134516,13.428953649372797
0.0,8428.765276225862,6503.936101941802,5737.803421105474,5230.193760774604,4816.4499918472175,4445.745118136463,4097.77431859666,3763.0240521914966,3436.5184959786197,3115.435404392202,2798.0709962224573,2483.344508514336,2170.5422111632383,1859.1768588361183,1548.9064785294797,1239.4859288857144,930.739138612721,622.5558384475311,314.9135440162817,9.168608449196485
-1.0,13.358054794401339,13.281441789545914,13.202890816212633,13.12328789483339,13.043849861416227,12.965989985652925,12.891322378402759,12.821772351760488,12.76000988182577,12.716229161023483,12.866964653609193,13.107708934473774,13.37289202969075,13.660491031802763,13.977138767987034,14.33406098462478,14.75053827516167,15.262693074602444,15.954699217037234,17.073018847215835
-2.0,13.359545342442743,13.286900223148303,13.21404939976468,13.141168417914908,13.068756625415492,12.997467181094267,12.928067433436517,12.861465976754682,12.798868963360809,12.742831536389769,12.761326137724202,12.94789394814385,13.160494197575463,13.383764666115109,13.615336100986305,13.856104104703428,14.107551220001913,14.371735229392804,14.651485873002354,14.950692493742125
-3.0,13.360044615542435,13.28872416762541,13.217763352044367,13.147086807599896,13.076942221890267,13.007722739716373,12.939919291470401,12.874133338565462,12.811189746618155,12.752823171535427,12.735543843176465,12.901148099960396,13.096975172216197,13.304126831073347,13.516524406018622,13.734202405302986,13.957677771136488,14.187776531826163,14.425748239853029,14.673548961883643
-4.0,13.36029470958172,13.289636992737156,13.21961930493786,13.150038222317102,13.081013338734563,13.01280661100038,12.945771667378759,12.880361150042928,12.817223075758614,12.757764352788417,12.725598599947627,12.878554560322604,13.066264545334274,13.265924943064427,13.469696690830174,13.677277157031488,13.888903182591545,14.105077169291539,14.326673049226875,14.555281693097303
-5.0,13.360444913428818,13.290184962702018,13.220732552451228,13.151806588592088,13.08344909674511,13.015842952929228,12.94925968266713,12.884064051882946,12.820801867903102,12.760702997096265,12.720692457097451,12.865233144355242,13.048166111841478,13.243462826307058,13.442315260689199,13.644212943875432,13.84926551372312,14.057837103617636,14.270649002731854,14.489167140510663
-6.0,13.360545110479226,13.290550390903375,13.221474583000104,13.15298446764625,13.085070061719628,13.017861372932737,12.95157530406085,12.886518605342866,12.823170472364794,12.762649776101721,12.719001414376422,12.856449646061343,13.036243261537766,13.228668065552311,13.424338086058308,13.622588101317826,13.823456240672575,14.027232402037235,14.234558577483593,14.446844831593213
-7.0,13.360616709677622,13.290811467830068,13.222004539019823,13.15382530316936,13.08622648832001,13.019300261636758,12.953224568113436,12.88826498766194,12.824853858728837,12.764033910218684,12.718176073449701,12.85022334485915,13.02780162466191,13.21818532713446,13.411627066008254,13.607336271907803,13.805305553126766,14.005779266147867,14.209351920528063,14.417404449009476
-8.0,13.360670425894268,13.291007306171187,13.22240196984602,13.154455654873894,13.087093039885199,13.020377877515129,12.954458921428012,12.88957102330924,12.826111757292475,12.765068366061628,12.717648154457617,12.845579574624898,13.021514048697563,13.210368587769326,13.402162676529768,13.596000127796806,13.791842098924555,13.989902462235374,14.19074453373181,14.395732463911287
-9.0,13.360712214864073,13.291159643394188,13.22271106210799,13.154945764231456,13.087766569743028,13.021215105212908,12.955417438569008,12.890584606811224,12.827087370323735,12.76587072915111,12.717374710484377,12.841983081494401,13.016651113968157,13.204315269977231,13.394841417074854,13.587242485979354,13.78145665334003,13.977676081535398,14.176442218504704,14.379108842462953
-10.0,13.36074565225571,13.291281524299281,13.222958322248475,13.155337749007515,13.088305107688342,13.021884309450156,12.956183285515637,12.891394075895436,12.827866125627526,12.76651119964505,12.717277469207872,12.83911549463962,13.012778854629975,13.199489008352922,13.389009152231642,13.580273063266237,13.773201396890244,13.967970135836872,14.165104638172139,14.36595193777237
-11.0,13.360773014230535,13.29138125338845,13.223160617785494,13.155658395774593,13.08874553998634,13.022431457982687,12.956809249076924,12.892055443732657,12.828502140427071,12.767034268704302,12.71722625872961,12.836775619757779,13.009623036706103,13.195550966371442,13.384253443415503,13.574594704558358,13.766481613082949,13.960077656812445,14.155895914726763,14.35527886382232
-12.0,13.360795818588539,13.291464365911814,13.223329191030011,13.15592555458576,13.089112437397137,13.022887152427915,12.957330447190875,12.892605948955197,12.829031363432245,12.767469500001486,12.717198224665275,12.834830058950999,13.00700194849638,13.19227657688378,13.380301334141116,13.569878970837932,13.760905198719833,13.953533595675964,14.14826758163265,14.346446461927169
