seed,cw_alpha,ec1,ec2,ec3,ec4,ec5,ec6,bm,cw_energy_volume,cw_ec_volume,cw_ec_volume_red,cw_fullcov,cw_redcov,cw_cwfullcov,cw_cwredcov,cw_Mvol,cw_Mcov,mv_energy_volume,mv_ec_volume,mv_ec_volume_red,mv_fullcov,mv_redcov,mv_cwfullcov,mv_cwredcov,mv_cwfullcov_upper,mv_cwredcov_upper,mv_Mvol,mv_Mcov
112.0,0.4,0.9953393905919187,0.5913307904602809,0.02831636870261256,-0.004742054610759122,-0.0017528976371732191,-0.17125868396709293,0.35065770933238133,6.077363424779571e-16,0.8401382249482754,2.0545901395337602,1.0,1.0,6.0,3.0,1.0496188348812534,1.0,2.2160070768951098e-33,0.1840558251753665,1.543899565234832,0.0,1.0,6.0,3.0,6.0,3.0,1.729552254339146,1.0
112.0,0.45,0.9953393905919187,0.5913307904602809,0.02831636870261256,-0.004742054610759122,-0.0017528976371732191,-0.17125868396709293,0.35065770933238133,6.077363424779571e-16,0.8401382249482754,2.0545901395337602,1.0,1.0,6.0,3.0,1.0496188348812534,1.0,3.341025917333377e-33,0.1872315774068396,1.5705384531091673,0.0,1.0,6.0,3.0,6.0,3.0,1.7593944471952185,1.0
112.0,0.5,0.9953393905919187,0.5913307904602809,0.02831636870261256,-0.004742054610759122,-0.0017528976371732191,-0.17125868396709293,0.35065770933238133,6.077363424779571e-16,0.8401382249482754,2.0545901395337602,1.0,1.0,6.0,3.0,1.0496188348812534,1.0,5.721106451863076e-33,0.1914751582833173,1.6061345156841518,0.0,1.0,6.0,3.0,6.0,3.0,1.799270907852682,1.0
112.0,0.55,0.9953393905919187,0.5913307904602809,0.02831636870261256,-0.004742054610759122,-0.0017528976371732191,-0.17125868396709293,0.35065770933238133,4.358249418027506e-15,0.9120121299491906,2.2303605212632167,1.0,1.0,6.0,3.0,1.1394138259734288,1.0,1.0029088003819477e-32,0.1960062844315594,1.6441425694017118,0.0,1.0,6.0,3.0,6.0,3.0,1.8418493996603724,1.0
112.0,0.6,0.9953393905919187,0.5913307904602809,0.02831636870261256,-0.004742054610759122,-0.0017528976371732191,-0.17125868396709293,0.35065770933238133,4.358249418027506e-15,0.9120121299491906,2.2303605212632167,1.0,1.0,6.0,3.0,1.1394138259734288,1.0,1.4819088983290648e-32,0.19922094633943924,1.6711078399506,0.0,1.0,6.0,3.0,6.0,3.0,1.872057222446826,1.0
112.0,0.65,0.9953393905919187,0.5913307904602809,0.02831636870261256,-0.004742054610759122,-0.0017528976371732191,-0.17125868396709293,0.35065770933238133,4.358249418027506e-15,0.9120121299491906,2.2303605212632167,1.0,1.0,6.0,3.0,1.1394138259734288,1.0,2.405738301620258e-32,0.20328380695931922,1.7051879824218634,1.0,1.0,6.0,3.0,6.0,3.0,1.9102354748193537,1.0
112.0,0.7,0.9953393905919187,0.5913307904602809,0.02831636870261256,-0.004742054610759122,-0.0017528976371732191,-0.17125868396709293,0.35065770933238133,4.358249418027506e-15,0.9120121299491906,2.2303605212632167,1.0,1.0,6.0,3.0,1.1394138259734288,1.0,3.4147301946934174e-32,0.20627216131115722,1.7302549368644866,1.0,1.0,6.0,3.0,6.0,3.0,1.9383167105045662,1.0
112.0,0.75,0.9953393905919187,0.5913307904602809,0.02831636870261256,-0.004742054610759122,-0.0017528976371732191,-0.17125868396709293,0.35065770933238133,4.358249418027506e-15,0.9120121299491906,2.2303605212632167,1.0,1.0,6.0,3.0,1.1394138259734288,1.0,6.093321208664775e-32,0.21130982435795176,1.7725119302540477,1.0,1.0,6.0,3.0,6.0,3.0,1.985655073584805,1.0
112.0,0.8,0.9953393905919187,0.5913307904602809,0.02831636870261256,-0.004742054610759122,-0.0017528976371732191,-0.17125868396709293,0.35065770933238133,4.358249418027506e-15,0.9120121299491906,2.2303605212632167,1.0,1.0,6.0,3.0,1.1394138259734288,1.0,9.557954069118759e-32,0.21531087959186912,1.8060736359498057,1.0,1.0,6.0,3.0,6.0,3.0,2.0232525475738186,1.0
112.0,0.85,0.9953393905919187,0.5913307904602809,0.02831636870261256,-0.004742054610759122,-0.0017528976371732191,-0.17125868396709293,0.35065770933238133,4.358249418027506e-15,0.9120121299491906,2.2303605212632167,1.0,1.0,6.0,3.0,1.1394138259734288,1.0,1.9144506347324104e-31,0.22163377474711551,1.8591114307161993,1.0,1.0,6.0,3.0,6.0,3.0,2.0826680947823197,1.0
112.0,0.9,0.9953393905919187,0.5913307904602809,0.02831636870261256,-0.004742054610759122,-0.0017528976371732191,-0.17125868396709293,0.35065770933238133,4.358249418027506e-15,0.9120121299491906,2.2303605212632167,1.0,1.0,6.0,3.0,1.1394138259734288,1.0,4.518627658782039e-31,0.22970795872760336,1.9268394101225776,1.0,1.0,6.0,3.0,6.0,3.0,2.1585403095959292,1.0
112.0,0.95,0.9953393905919187,0.5913307904602809,0.02831636870261256,-0.004742054610759122,-0.0017528976371732191,-0.17125868396709293,0.35065770933238133,4.358249418027506e-15,0.9120121299491906,2.2303605212632167,1.0,1.0,6.0,3.0,1.1394138259734288,1.0,9.460552501727557e-31,0.2368903066827221,1.98708647850364,1.0,1.0,6.0,3.0,6.0,3.0,2.2260320398108675,1.0
113.0,0.4,-0.5511624896524758,0.9447629170300226,1.3426890813125278,-0.0008150848058586693,-0.0031314775124639525,0.20162024210826765,0.7114055576575268,1.6281682546247805e-14,0.9805878259950835,1.2941432221021634,1.0,1.0,6.0,3.0,2.059956152874819,1.0,5.098225520441634e-31,0.24859044660831492,1.4501931906598478,0.0,0.0,4.0,2.0,6.0,3.0,3.8524018502434516,1.0
113.0,0.45,-0.5511624896524758,0.9447629170300226,1.3426890813125278,-0.0008150848058586693,-0.0031314775124639525,0.20162024210826765,0.7114055576575268,1.6281682546247805e-14,0.9805878259950835,1.2941432221021634,1.0,1.0,6.0,3.0,2.059956152874819,1.0,6.889191404008358e-31,0.2517284596132388,1.4684993048087673,0.0,0.0,4.0,2.0,6.0,3.0,3.901031583490216,1.0
113.0,0.5,-0.5511624896524758,0.9447629170300226,1.3426890813125278,-0.0008150848058586693,-0.0031314775124639525,0.20162024210826765,0.7114055576575268,1.6281682546247805e-14,0.9805878259950835,1.2941432221021634,1.0,1.0,6.0,3.0,2.059956152874819,1.0,1.0481033976456322e-30,0.25616835523878795,1.4944001650037562,0.0,0.0,4.0,2.0,6.0,3.0,3.969836569185033,1.0
113.0,0.55,-0.5511624896524758,0.9447629170300226,1.3426890813125278,-0.0008150848058586693,-0.0031314775124639525,0.20162024210826765,0.7114055576575268,4.899259704220276e-12,1.2438111994840149,1.6415356082496073,1.0,1.0,6.0,3.0,2.612918971119831,1.0,2.1043327566261922e-30,0.2637171711285662,1.5384374220675805,0.0,1.0,4.0,2.0,6.0,3.0,4.0868204384274005,1.0
113.0,0.6,-0.5511624896524758,0.9447629170300226,1.3426890813125278,-0.0008150848058586693,-0.0031314775124639525,0.20162024210826765,0.7114055576575268,4.899259704220276e-12,1.2438111994840149,1.6415356082496073,1.0,1.0,6.0,3.0,2.612918971119831,1.0,3.0680298853380724e-30,0.2678928508254968,1.562796935256784,0.0,1.0,4.0,2.0,6.0,3.0,4.151530874447597,1.0
113.0,0.65,-0.5511624896524758,0.9447629170300226,1.3426890813125278,-0.0008150848058586693,-0.0031314775124639525,0.20162024210826765,0.7114055576575268,4.899259704220276e-12,1.2438111994840149,1.6415356082496073,1.0,1.0,6.0,3.0,2.612918971119831,1.0,4.050998375635654e-30,0.27101316869315917,1.5809998219168178,0.0,1.0,4.0,2.0,6.0,3.0,4.199886386458366,1.0
113.0,0.7,-0.5511624896524758,0.9447629170300226,1.3426890813125278,-0.0008150848058586693,-0.0031314775124639525,0.20162024210826765,0.7114055576575268,4.899259704220276e-12,1.2438111994840149,1.6415356082496073,1.0,1.0,6.0,3.0,2.612918971119831,1.0,5.630075438753614e-30,0.2747557142107901,1.6028325757472754,0.0,1.0,4.0,2.0,6.0,3.0,4.257884549595577,1.0
