seed,cw_alpha,ec1,ec2,ec3,ec4,ec5,ec6,bm,cw_energy_volume,cw_ec_volume,cw_ec_volume_red,cw_fullcov,cw_redcov,cw_cwfullcov,cw_cwredcov,cw_Mvol,cw_Mcov,mv_energy_volume,mv_ec_volume,mv_ec_volume_red,mv_fullcov,mv_redcov,mv_cwfullcov,mv_cwredcov,mv_cwfullcov_upper,mv_cwredcov_upper,mv_Mvol,mv_Mcov
2.0,0.4,-0.715090534547425,0.11328641851230789,0.5304797401144162,2.072477426680831e-5,-0.0001062261490004853,-0.016920938830455534,0.11528998189380257,1.8681959166783853e-19,0.14028782864274328,0.1647307324989478,0.0,0.0,3.0,1.0,0.1859251991277384,0.0,1.3702941300075194e-26,0.14405147451739228,0.6815538708800725,0.0,1.0,6.0,3.0,6.0,3.0,1.5360142522679847,1.0
2.0,0.45,-0.715090534547425,0.11328641851230789,0.5304797401144162,2.072477426680831e-5,-0.0001062261490004853,-0.016920938830455534,0.11528998189380257,2.1920495989785835e-18,0.15544597870089455,0.18252994706065512,0.0,0.0,3.0,1.0,0.206014483388791,0.0,1.700572709972325e-26,0.1453534240458591,0.687713812968759,0.0,1.0,6.0,3.0,6.0,3.0,1.5498968802532826,1.0
2.0,0.5,-0.715090534547425,0.11328641851230789,0.5304797401144162,2.072477426680831e-5,-0.0001062261490004853,-0.016920938830455534,0.11528998189380257,4.8617255178273625e-17,0.17687250529049423,0.20768970221661684,0.0,0.0,3.0,1.0,0.23441132480638877,1.0,2.985164432129223e-26,0.14880155761389208,0.7040280422293603,0.0,1.0,6.0,3.0,6.0,3.0,1.5866641700152688,1.0
2.0,0.55,-0.715090534547425,0.11328641851230789,0.5304797401144162,2.072477426680831e-5,-0.0001062261490004853,-0.016920938830455534,0.11528998189380257,2.1769219694164673e-16,0.1882727697892684,0.22107627993853213,0.0,0.0,3.0,1.0,0.24952023673089524,1.0,7.431167077277592e-26,0.1545650063080919,0.7312967722462564,0.0,1.0,6.0,3.0,6.0,3.0,1.6481195585572124,1.0
2.0,0.6,-0.715090534547425,0.11328641851230789,0.5304797401144162,2.072477426680831e-5,-0.0001062261490004853,-0.016920938830455534,0.11528998189380257,8.133352407354667e-15,0.2189300075987122,0.2570750496793121,0.0,0.0,3.0,1.0,0.2901506542059762,1.0,1.0489643869826675e-25,0.15680100100909342,0.7418759825517429,0.0,1.0,6.0,3.0,6.0,3.0,1.6719618672891474,1.0
2.0,0.65,-0.715090534547425,0.11328641851230789,0.5304797401144162,2.072477426680831e-5,-0.0001062261490004853,-0.016920938830455534,0.11528998189380257,8.032318757494754e-14,0.24084950874616573,0.2828136723022828,0.0,0.0,3.0,1.0,0.3192008409188902,1.0,1.9641965160183275e-25,0.1609532827693945,0.7615217634519323,0.0,1.0,6.0,3.0,6.0,3.0,1.7162374568630996,1.0
2.0,0.7,-0.715090534547425,0.11328641851230789,0.5304797401144162,2.072477426680831e-5,-0.0001062261490004853,-0.016920938830455534,0.11528998189380257,4.372579631809678e-13,0.2584688027809692,0.3035028457006312,0.0,0.0,4.0,2.0,0.34255190981491906,1.0,2.6065921269637576e-25,0.16286215540247345,0.7705532540107807,0.0,1.0,6.0,3.0,6.0,3.0,1.7365916780190904,1.0
2.0,0.75,-0.715090534547425,0.11328641851230789,0.5304797401144162,2.072477426680831e-5,-0.0001062261490004853,-0.016920938830455534,0.11528998189380257,8.63953641517489e-11,0.32215471663722567,0.3782850084934024,0.0,0.0,4.0,2.0,0.42695564127126867,1.0,3.639327974721591e-25,0.1651428149203797,0.7813437879348246,0.0,1.0,6.0,3.0,6.0,3.0,1.7609102456409147,1.0
2.0,0.8,-0.715090534547425,0.11328641851230789,0.5304797401144162,2.072477426680831e-5,-0.0001062261490004853,-0.016920938830455534,0.11528998189380257,4.995432584896979e-10,0.34659152461896825,0.40697953828771466,0.0,0.0,4.0,2.0,0.45934204595090794,1.0,6.794369054148096e-25,0.16949491769641123,0.8019349863478202,0.0,1.0,6.0,3.0,6.0,3.0,1.8073165175219588,1.0
2.0,0.85,-0.715090534547425,0.11328641851230789,0.5304797401144162,2.072477426680831e-5,-0.0001062261490004853,-0.016920938830455534,0.11528998189380257,9.724845883299983e-9,0.39222852329586233,0.46056805194447054,0.0,0.0,4.0,2.0,0.5198253262802509,1.0,1.432805960841191e-24,0.17484703578311844,0.8272575789253932,0.0,1.0,6.0,3.0,6.0,3.0,1.8643859067006932,1.0
