seed,alpha,VE,mv_energy_volume,mv_vfe_volume,mv_vfe_cov,mm_energy_volume,mm_vfe_volume,mm_vfe_cov,cb_energy_volume,cb_vfe_volume,cb_vfe_cov,cw_energy_volume,cw_vfe_volume,cw_vfe_cov
2.0,0.4,0.21630143209215014,0.02277730713688146,1.815869818229323,1.0,0.00754494561041206,1.0451089764984713,1.0,0.03157090805753256,1.99974887828664,1.0,0.00886930961795729,1.0182481739360272,1.0
2.0,0.45,0.21630143209215014,0.02634712549504683,1.952990547302734,1.0,0.009908963375512425,1.197698850785627,1.0,0.035379099446973816,2.0114768195730206,1.0,0.01156540189722761,1.218826377234437,1.0
2.0,0.5,0.21630143209215014,0.030476651701063815,2.100473211571997,1.0,0.01069804935357913,1.2444739775986093,1.0,0.03737896841593806,2.041624055101036,1.0,0.013540521642845464,1.2664714292275676,1.0
2.0,0.55,0.21630143209215014,0.03281324933850606,2.1795063593554382,1.0,0.0117305326704293,1.3031439374710212,1.0,0.03969587242867619,2.1212428286694296,1.0,0.015424758130779452,1.3260080695545071,1.0
2.0,0.6,0.21630143209215014,0.03738222538218229,2.326302015833867,1.0,0.014484716726026733,1.4480665593244209,1.0,0.04485180825631338,2.3180979558638493,1.0,0.020458065494331792,1.6108173514524344,1.0
2.0,0.65,0.21630143209215014,0.04208700426024472,2.4683544764830256,1.0,0.018071005151718892,1.6174269534341112,1.0,0.05097289759992355,2.4464598406840947,1.0,0.02487711007515564,1.7740285899861776,1.0
2.0,0.7,0.21630143209215014,0.050649780375994935,2.7078356678318967,1.0,0.022332346901808815,1.7980456095385378,1.0,0.06162085652294536,2.735029685212455,1.0,0.03157090805753256,1.99974887828664,1.0
2.0,0.75,0.21630143209215014,0.058875411666540596,2.919446356084182,1.0,0.0268623669316447,1.9719943204807948,1.0,0.07596569692150107,2.7955591613227293,1.0,0.03737896841593806,2.041624055101036,1.0
2.0,0.8,0.21630143209215014,0.06901051893644668,3.1607574322472063,1.0,0.031189214547575474,2.1248865138362434,1.0,0.08660688426570205,2.946643075669648,1.0,0.04485180825631338,2.3180979558638493,1.0
2.0,0.85,0.21630143209215014,0.0818088167199131,3.441387498979048,1.0,0.03882568326870737,2.3707899355191606,1.0,0.09892091708573467,3.1808200064810093,1.0,0.06162085652294536,2.735029685212455,1.0
2.0,0.9,0.21630143209215014,0.10740382427599351,3.9431508686771304,1.0,0.05446018471465124,2.8078446525133423,1.0,0.11641949266158415,3.1954277534240867,1.0,0.08660688426570205,2.946643075669648,1.0
2.0,0.95,0.21630143209215014,0.15676326905534216,4.763823658883618,1.0,0.06854420440588081,3.1500604729844977,1.0,0.15355478515379997,3.374885383740407,1.0,0.11641949266158415,3.1954277534240867,1.0
3.0,0.4,-0.05851487994194038,0.0043984598971994185,0.22070608173273557,1.0,0.0014223649461288373,0.12550744906994174,1.0,0.007023901639871173,0.3075358591893033,1.0,0.0013772279118889213,0.1283940048888666,1.0
3.0,0.45,-0.05851487994194038,0.0055559113586255,0.24805137366714694,1.0,0.0021185699099856865,0.1531741158512802,1.0,0.007640463433973085,0.3150922001186532,1.0,0.0021015022630310257,0.1659556673872337,1.0
3.0,0.5,-0.05851487994194038,0.0060168608969235595,0.25813623291436083,1.0,0.002722134257443201,0.17362759628166227,1.0,0.008382807007798214,0.3233375112363191,1.0,0.0027135617052346478,0.1876236316410826,1.0
3.0,0.55,-0.05851487994194038,0.007343514249987873,0.28517795691925674,1.0,0.00340482827514436,0.1941831709754983,1.0,0.009176836362002954,0.34018671969361985,1.0,0.0034864787692131327,0.20980390501411855,1.0
3.0,0.6,-0.05851487994194038,0.007948396561143097,0.2966905718999154,1.0,0.004761917852924196,0.22964390958236178,1.0,0.010812576508232285,0.37668659338231597,1.0,0.004209210910869034,0.23315789641760284,1.0
3.0,0.65,-0.05851487994194038,0.00899009986058066,0.3155340561221968,1.0,0.00522156797661768,0.24047196401898194,1.0,0.012197680435824114,0.40295160111215744,1.0,0.00518725455521956,0.26145262167124217,1.0
3.0,0.7,-0.05851487994194038,0.010263558982942927,0.33714208908036025,1.0,0.006275488053608449,0.2636256939226116,1.0,0.012421427001583569,0.4047970959980933,1.0,0.007023901639871173,0.3075358591893033,1.0
3.0,0.75,-0.05851487994194038,0.012623077273418508,0.3738923700912347,1.0,0.00858635030758825,0.30836727556934723,1.0,0.01326774719097219,0.413412827063473,1.0,0.008382807007798214,0.3233375112363191,1.0
3.0,0.8,-0.05851487994194038,0.014071119226556426,0.3947556037741088,1.0,0.01066668215834114,0.34369930939758453,1.0,0.016683530588986684,0.48907857175373803,1.0,0.010812576508232285,0.37668659338231597,1.0
3.0,0.85,-0.05851487994194038,0.017526240293520068,0.4405633473692888,1.0,0.012710527210528106,0.37518525730337265,1.0,0.01999224061666815,0.5106626313201871,1.0,0.012421427001583569,0.4047970959980933,1.0
3.0,0.9,-0.05851487994194038,0.021190780099268107,0.48443716588775637,1.0,0.016050641877317546,0.4216093025539731,1.0,0.02560452136324057,0.5383951774144247,1.0,0.016683530588986684,0.48907857175373803,1.0
3.0,0.95,-0.05851487994194038,0.023516774633052673,0.5103320700804646,1.0,0.02024427584165876,0.47349468178484927,1.0,0.02741472713307191,0.5451623013223114,1.0,0.02560452136324057,0.5383951774144247,1.0
4.0,0.4,-0.030602694794724883,0.0028121855338145156,0.19071857676198736,1.0,0.0009299416625895479,0.1096727831845375,1.0,0.0035950111182438383,0.22172497083012882,1.0,0.0010998677714077274,0.1277822700948086,1.0
4.0,0.45,-0.030602694794724883,0.003380974266569325,0.2091182543235841,1.0,0.0014242741485088687,0.13572748695406225,1.0,0.004145538253383053,0.2383561855731137,1.0,0.0015631704424860819,0.1580393674329657,1.0
4.0,0.5,-0.030602694794724883,0.004079800409398319,0.22971559030104227,1.0,0.0017409851230784556,0.15006124394203652,1.0,0.0050262474797990175,0.2684348612885528,1.0,0.001838774433738843,0.17062605536917275,1.0
4.0,0.55,-0.030602694794724883,0.005050596595766484,0.25558911433021825,1.0,0.0020093707300267195,0.1612133668546767,1.0,0.005377032302988329,0.2724930399687012,1.0,0.0021381006293195747,0.17635582673318104,1.0
4.0,0.6,-0.030602694794724883,0.005409284074306229,0.264509276105993,1.0,0.0022926559491600585,0.17220289783839687,1.0,0.005826857392592146,0.2834022661140465,1.0,0.0025927196067344724,0.19397408161594626,1.0
4.0,0.65,-0.030602694794724883,0.006248986891554528,0.2842993187706683,1.0,0.0026602323629340407,0.18549439808595553,1.0,0.006960581914888268,0.3062498734039683,1.0,0.0029598796633084376,0.200370622687602,1.0
4.0,0.7,-0.030602694794724883,0.00737686611259364,0.3088922149390714,1.0,0.0030525328695407104,0.19870151883129847,1.0,0.007587161264571174,0.3226381688477921,1.0,0.0035950111182438383,0.22172497083012882,1.0
